
### Skeleton (220)
FJ1383M  FMA37718   muscle     First lumbrical of left foot
FJ1383   FMA37717   muscle     First lumbrical of right foot
FJ1384M  FMA37746   muscle     First plantar interosseous of left foot
FJ1384   FMA37745   muscle     First plantar interosseous of right foot
FJ1391M  FMA37472   muscle     Flexor digiti minimi brevis of left foot
FJ1470M  FMA37399   muscle     Flexor digiti minimi brevis of left hand
FJ1391   FMA37471   muscle     Flexor digiti minimi brevis of right foot
FJ1470   FMA37398   muscle     Flexor digiti minimi brevis of right hand
FJ1471M  FMA40121   muscle     Flexor retinaculum of left wrist
FJ1471   FMA40120   muscle     Flexor retinaculum of right wrist
FJ1389M  FMA37484   muscle     Fourth lumbrical of left foot
FJ1389   FMA37483   muscle     Fourth lumbrical of right foot
FJ1473M  FMA38618   muscle     Humeral head of left flexor carpi ulnaris
FJ1474M  FMA38561   muscle     Humeral head of left pronator teres
FJ1473   FMA38617   muscle     Humeral head of right flexor carpi ulnaris
FJ1474   FMA38560   muscle     Humeral head of right pronator teres
FJ1557   FMA46288   muscle     Inferior oblique part of left longus colli
FJ1454M  FMA9758    muscle     Innermost intercostal muscle (left)
FJ1454   FMA9758    muscle     Innermost intercostal muscle (right)
FJ1455M  FMA9757    muscle     Internal intercostal muscle (left)
FJ1455   FMA9757    muscle     Internal intercostal muscle (right)
FJ1393M  FMA45974   muscle     Lateral head of left flexor hallucis brevis
FJ1394M  FMA45961   muscle     Lateral head of left gastrocnemius
FJ1477M  FMA37698   muscle     Lateral head of left triceps brachii
FJ1393   FMA45973   muscle     Lateral head of right flexor hallucis brevis
FJ1394   FMA45960   muscle     Lateral head of right gastrocnemius
FJ1477   FMA37697   muscle     Lateral head of right triceps brachii
FJ1547M  FMA22850   muscle     Lateral lumbar intertransversarius (left)
FJ1547   FMA22850   muscle     Lateral lumbar intertransversarius (right)
FJ1400M  FMA37460   muscle     Left abductor hallucis
FJ1483M  FMA37387   muscle     Left abductor pollicis brevis
FJ1484M  FMA38517   muscle     Left abductor pollicis longus
FJ1401M  FMA22454   muscle     Left adductor brevis
FJ1402M  FMA22457   muscle     Left adductor longus
FJ1403M  FMA22460   muscle     Left adductor magnus
